year,dice_rolling,hand_management,set_collection,card_drafting,tile_placement,area_majority,cooperative,variable_player_powers
1960,,1,3,1,1,,2,
1961,2,,3,,,,,1
1962,6,2,,,,,,
1963,1,3,1,,3,,,
1964,3,2,4,2,2,,1,
1965,4,1,3,,3,,,
1966,4,1,2,,1,,,
1967,4,3,2,,2,,1,
1968,2,,3,2,2,1,,1
1969,3,1,5,,5,,,2
1970,4,1,,,1,,,
1971,11,3,1,1,1,1,,2
1972,19,,5,1,2,,,2
1973,16,1,5,2,2,2,1,
1974,21,1,3,,9,2,,
1975,30,5,7,3,6,1,1,5
1976,20,,3,1,1,,,7
1977,23,2,10,,6,2,2,11
1978,24,7,,,8,2,2,5
1979,33,4,4,,6,2,4,8
1980,31,5,12,2,12,3,7,11
1981,36,3,6,,5,1,2,8
1982,31,9,9,2,8,,2,10
1983,30,7,12,1,6,3,8,10
1984,24,6,6,,3,4,2,6
1985,38,5,14,2,8,4,2,9
1986,34,6,16,2,11,5,7,6
1987,30,6,12,3,8,1,2,12
1988,30,8,14,3,9,4,4,6
1989,26,8,9,2,10,2,4,17
1990,31,11,10,4,5,,2,9
1991,41,9,15,2,14,4,10,13
1992,41,12,17,3,10,5,9,13
1993,51,14,13,6,10,5,6,14
1994,39,19,10,3,16,7,9,18
1995,43,26,16,9,12,6,8,18
1996,39,30,23,14,18,6,4,13
1997,41,33,28,5,18,10,7,21
1998,42,39,35,15,19,10,7,19
1999,44,42,36,8,26,14,,19
2000,57,47,56,12,25,15,14,29
2001,48,49,59,14,44,18,13,29
2002,63,60,44,17,46,14,13,39
2003,89,76,47,25,38,16,8,33
2004,114,88,53,29,36,27,11,50
2005,121,89,65,37,43,28,11,35
2006,106,91,50,38,50,27,4,43
2007,125,88,73,48,40,41,10,45
2008,151,109,79,38,52,48,18,37
2009,162,134,84,51,67,47,22,53
2010,172,153,92,62,67,46,30,59
2011,209,179,95,80,64,63,26,72
2012,226,226,97,87,66,84,38,91
2013,204,218,107,83,59,86,63,114
2014,244,304,134,121,79,93,65,120
2015,270,294,182,145,73,115,107,182
2016,275,342,187,139,82,118,125,168
2017,289,342,224,158,102,135,173,191
2018,280,281,206,155,116,136,159,202
2019,213,230,146,110,93,84,155,158
2020,22,20,10,13,10,9,13,12
2021,1,1,,,,,3,
(blank),,,,,,,,
