objectid,year
148203,1960
14188,1960
5242,1960
1757,1960
10971,1960
3954,1960
2159,1960
5396,1960
5897,1960
4784,1960
7006,1960
2372,1960
11052,1960
9633,1960
8097,1960
12237,1960
2322,1960
18686,1960
6932,1960
2921,1960
4757,1960
3471,1961
2947,1961
12168,1961
2428,1961
1727,1961
4851,1961
8220,1961
13614,1961
7097,1961
26700,1961
3754,1961
2251,1962
949,1962
1535,1962
1549,1962
5306,1962
1509,1962
2422,1962
1508,1962
2334,1962
5296,1962
12369,1962
5321,1962
2970,1962
5663,1962
8499,1962
5650,1962
2272,1962
2445,1962
5153,1962
789,1963
923,1963
12747,1963
3887,1963
4651,1963
7694,1963
17529,1963
1268,1963
3423,1963
3983,1963
3324,1963
2581,1963
3610,1963
2679,1963
5,1964
2250,1964
2259,1964
1233,1964
2060,1964
2366,1964
8304,1964
1970,1964
1590,1964
4554,1964
33782,1964
3374,1964
3144,1964
336,1964
2311,1964
5616,1964
2430,1964
13854,1964
2766,1964
7709,1964
18755,1964
2177,1964
2660,1964
2726,1964
3713,1964
4756,1964
5128,1964
713,1965
16444,1965
4168,1965
335,1965
218,1965
17779,1965
1920,1965
7095,1965
446,1965
13024,1965
11600,1965
19842,1965
4460,1965
2426,1965
7314,1965
3640,1965
7710,1965
12557,1965
7473,1965
5259,1965
4040,1965
2770,1965
4888,1965
3343,1965
4149,1965
3737,1965
1410,1965
1538,1965
2006,1965
4407,1965
4737,1965
4793,1965
782,1966
2174,1966
2199,1966
6638,1966
5755,1966
6342,1966
25168,1966
3566,1966
3606,1966
5894,1966
5895,1966
2034,1966
2118,1966
2351,1966
2377,1966
2873,1966
4626,1966
4765,1966
287,1967
6688,1967
4984,1967
847,1967
766,1967
476,1967
3656,1967
24109,1967
7378,1967
4479,1967
6988,1967
10354,1967
2854,1967
8502,1967
1368,1967
5116,1967
9091,1967
1269,1967
7308,1967
3728,1967
1564,1967
2231,1967
3813,1967
4544,1967
4569,1967
4577,1967
4755,1967
4766,1967
4767,1967
5740,1968
4934,1968
1572,1968
4178,1968
11030,1968
1907,1968
17691,1968
1047,1968
7003,1968
4962,1968
13495,1968
7711,1968
794,1968
2383,1968
3342,1968
4509,1968
6474,1968
11863,1968
9921,1968
7972,1968
7262,1968
615,1968
666,1968
2202,1968
4542,1968
5127,1968
3406,1969
4173,1969
1206,1969
1520,1969
25314,1969
2232,1969
2510,1969
5541,1969
17967,1969
5343,1969
4036,1969
1637,1969
11512,1969
21861,1969
5174,1969
5000,1969
19916,1969
2116,1969
1537,1969
2517,1969
2303,1969
2573,1969
6898,1969
8487,1969
1774,1969
1838,1969
2208,1969
2429,1969
3012,1969
3173,1969
3322,1969
3962,1969
3963,1969
4083,1969
4385,1969
4973,1969
5126,1969
2238,1970
1498,1970
4831,1970
1591,1970
2758,1970
5864,1970
1501,1970
31770,1970
7939,1970
12319,1970
12160,1970
6944,1970
23270,1970
1289,1970
3325,1970
2863,1970
6221,1970
5519,1970
4000,1970
15112,1970
3951,1970
5463,1970
14591,1970
5077,1970
1099,1970
14423,1970
9912,1970
2258,1970
1613,1970
3602,1970
8392,1970
1595,1970
2498,1970
3158,1970
3179,1970
3521,1970
3709,1970
4515,1970
4547,1970
5147,1970
594,1971
1194,1971
3730,1971
3573,1971
1726,1971
1518,1971
2975,1971
865,1971
18600,1971
8923,1971
8362,1971
8727,1971
11469,1971
11127,1971
11060,1971
10783,1971
7026,1971
7948,1971
3059,1971
1581,1971
4239,1971
1735,1971
8360,1971
3001,1971
3646,1971
8193,1971
2392,1971
8429,1971
3723,1971
866,1971
1964,1971
2816,1971
1428,1971
2356,1971
5232,1971
2223,1971
2278,1971
3019,1971
4652,1971
5091,1971
5104,1971
1293,1972
85,1972
4079,1972
4453,1972
8798,1972
4642,1972
1711,1972
3874,1972
252,1972
4241,1972
835,1972
9077,1972
9961,1972
1620,1972
746,1972
20467,1972
8736,1972
4087,1972
13269,1972
1434,1972
8803,1972
5276,1972
8944,1972
5052,1972
8754,1972
2164,1972
2040,1972
1987,1972
3812,1972
8693,1972
5668,1972
8363,1972
16617,1972
2400,1972
5893,1972
1691,1972
1875,1972
2942,1972
11125,1972
13031,1972
8787,1972
10471,1972
1665,1972
11456,1972
2104,1972
2417,1972
8788,1972
4969,1972
13072,1972
7031,1972
14625,1972
8725,1972
4810,1972
5742,1972
1414,1972
333,1972
2866,1972
1435,1972
5662,1972
33112,1972
12996,1972
19811,1972
1969,1972
1692,1972
17250,1972
1511,1972
1068,1972
1639,1972
1659,1972
1733,1972
1988,1972
2898,1972
3747,1972
4628,1972
5037,1972
5159,1972
361,1973
715,1973
1645,1973
908,1973
697,1973
5243,1973
3226,1973
4454,1973
507,1973
1380,1973
3637,1973
4657,1973
9855,1973
5035,1973
2995,1973
1709,1973
34450,1973
5277,1973
5241,1973
5182,1973
6942,1973
7609,1973
11514,1973
8258,1973
1551,1973
3459,1973
7941,1973
1721,1973
3024,1973
8703,1973
1916,1973
512,1973
8046,1973
8326,1973
20204,1973
3815,1973
6706,1973
8755,1973
5619,1973
4237,1973
7060,1973
11494,1973
3814,1973
11215,1973
10008,1973
3091,1973
2701,1973
3571,1973
2103,1973
4903,1973
7344,1973
3682,1973
2102,1973
7051,1973
10345,1973
3919,1973
11393,1973
7746,1973
7463,1973
9603,1973
1989,1973
4242,1973
4902,1973
1958,1973
1436,1973
5959,1973
6283,1973
5588,1973
1931,1973
664,1973
2035,1973
2528,1973
2691,1973
2900,1973
2967,1973
3350,1973
3770,1973
3798,1973
4159,1973
4283,1973
4414,1973
4521,1973
4664,1973
4776,1973
5080,1973
5095,1973
237,1974
1662,1974
2808,1974
1563,1974
987,1974
147,1974
2639,1974
3312,1974
3383,1974
1823,1974
67,1974
7662,1974
8782,1974
2884,1974
2608,1974
2524,1974
24225,1974
7955,1974
19505,1974
3576,1974
6946,1974
13978,1974
